sale_id,sale_date,amount,product
0,2018-6-7,6415.91,book
1,2010-11-19,1372.14,thingy
2,2011-1-16,7077.40,subscription
3,2003-4-6,5606.59,phone
4,2018-2-11,9105.83,whatchamacalit
5,2021-1-11,8833.89,car
6,2006-9-23,6331.11,subscription
7,2021-7-5,6359.38,subscription
8,2012-1-4,9448.98,phone
9,2007-5-6,5799.50,gizmo
10,2022-5-1,9545.22,car
11,2007-9-17,6463.68,whatsit
12,1998-3-24,297.56,car
13,2006-5-2,4604.30,thingamabob
14,2008-6-29,3323.70,whatchamacalit
15,2020-4-9,4033.26,whatchamacalit
16,2012-9-18,1446.37,toy
17,2012-7-19,3577.62,whatsit
18,2011-8-15,796.54,whatchamacalit
19,2004-5-8,5748.92,whoozit
20,1999-6-13,4804.54,doohickey
21,2006-1-2,4841.44,phone
22,1999-9-12,1198.27,pet
23,2012-7-21,7441.47,toy
24,1998-11-17,7094.68,gadget
25,2021-1-13,4045.97,whatsit
26,2015-10-28,7215.3,whatchamacalit
27,2023-10-26,7148.36,thingamabob
28,2009-10-7,6156.89,thingy
29,1998-4-18,8725.57,pet
30,2020-10-23,7376.0,book
31,2020-10-9,8575.13,whatsit
32,2017-12-5,9397.45,doohickey
33,2018-1-21,4465.21,pet
34,2007-4-3,3322.95,subscription
35,2005-10-28,5378.25,pet
36,2001-4-9,5443.44,phone
37,2012-3-22,547.8,pet
38,2012-4-18,4235.31,thingy
39,2006-10-20,9215.15,subscription
40,1995-1-25,2550.29,phone
41,2006-7-1,9257.49,book
42,2003-2-12,3243.6,pet
43,2026-6-6,6989.30,subscription
44,2005-5-20,9830.17,subscription
45,2005-12-14,5536.81,phone
46,2002-11-3,3103.22,book
47,1997-11-29,5197.82,book
48,1997-11-14,9841.85,doohickey
49,2023-8-15,6155.25,gadget
50,2017-4-14,968.85,thingy
51,1998-3-6,1848.92,pet
52,2010-11-14,3605.15,book
53,2022-12-25,88.76,whatsit
54,1998-11-24,4538.79,phone
55,2016-12-20,8844.8,car
56,2005-11-24,1598.28,gizmo
57,2019-10-30,4272.18,whatsit
58,2009-5-4,4405.53,gizmo
59,1999-4-26,276.90,thingy
60,1995-7-14,6773.74,car
61,2008-7-1,1419.66,book
62,1997-9-3,9895.4,doohickey
63,2016-11-6,4563.97,pet
64,2014-9-19,8171.49,doohickey
65,2020-8-20,9081.77,subscription
66,2025-9-24,8211.30,whoozit
67,2008-2-14,851.11,thingamabob
68,2006-9-28,6177.46,phone
69,2001-7-18,1625.88,thingy
70,2019-4-5,9183.97,toy
71,2013-4-19,2611.93,pet
72,2018-5-13,2959.92,doohickey
73,2017-9-30,9314.90,gadget
74,2011-11-13,424.43,thingy
75,2014-2-11,3874.61,whoozit
76,2013-9-27,4175.95,book
77,1998-3-18,1165.14,gadget
78,1998-11-2,212.6,gadget
79,2018-4-6,6010.17,thingy
80,2001-6-25,469.18,doohickey
81,2017-9-25,769.13,car
82,2013-9-30,7877.61,gizmo
